settlement_id,gateway_transaction_id,net_settled_amount,bank_reference_number,settlement_status,settled_at
set_Bnk9x2042,pay_Gz8x1042,108248,UTR242224154,failed,
set_Bnk9x2043,pay_Gz8x1043,129566,UTR474745382,processed,06-09-2026 00:00
set_Bnk9x2044,pay_Gz8x1044,12703,UTR173864104,processed,06-09-2026 02:00
set_Bnk9x2045,pay_Gz8x1045,78061,UTR362298393,processed,06-09-2026 04:00
set_Bnk9x2047,pay_Gz8x1047,125898,UTR496776692,processed,06-09-2026 08:00
set_Bnk9x2048,pay_Gz8x1048,77181,UTR406002884,processed,06-09-2026 10:00
set_Bnk9x2049,pay_Gz8x1049,139710,UTR269379374,processed,06-09-2026 12:00
set_Bnk9x2050,pay_Gz8x1050,86154,UTR570497096,processed,06-09-2026 14:00
set_Bnk9x2051,pay_Gz8x1051,60678,UTR995226828,processed,06-09-2026 16:00
set_Bnk9x2052,pay_Gz8x1052,51115,UTR683275843,processed,06-09-2026 18:00
set_Bnk9x2053,pay_Gz8x1053,9911,UTR855420240,processed,06-09-2026 20:00
set_Bnk9x2054,pay_Gz8x1054,134828,UTR424825305,processed,06-09-2026 22:00
set_Bnk9x2055,pay_Gz8x1055,102672,UTR756783995,processed,07-09-2026 00:00
set_Bnk9x2056,pay_Gz8x1056,24591,UTR966616964,processed,07-09-2026 02:00
set_Bnk9x2057,pay_Gz8x1057,29923,UTR802201721,processed,07-09-2026 04:00
set_Bnk9x2058,pay_Gz8x1058,134158,UTR667945747,processed,07-09-2026 06:00
set_Bnk9x2059,pay_Gz8x1059,41954,UTR108399996,processed,07-09-2026 08:00
set_Bnk9x2060,pay_Gz8x1060,131417,UTR817112652,processed,07-09-2026 10:00
set_Bnk9x2061,pay_Gz8x1061,77608,UTR977358886,processed,07-09-2026 12:00
set_Bnk9x2062,pay_Gz8x1062,118070,UTR695499669,processed,07-09-2026 14:00
set_Bnk9x2063,pay_Gz8x1063,61251,UTR421455482,processed,07-09-2026 16:00
set_Bnk9x2065,pay_Gz8x1065,125325,UTR812308209,processed,07-09-2026 20:00
set_Bnk9x2066,pay_Gz8x1066,67277,UTR211225158,processed,07-09-2026 22:00
set_Bnk9x2067,pay_Gz8x1067,15149,UTR244193987,processed,08-09-2026 00:00
set_Bnk9x2068,pay_Gz8x1068,68664,UTR383968123,processed,08-09-2026 02:00
set_Bnk9x2069,pay_Gz8x1069,11606,UTR223940587,processed,08-09-2026 04:00
set_Bnk9x2070,pay_Gz8x1070,24834,UTR214929002,processed,08-09-2026 06:00
set_Bnk9x2071,pay_Gz8x1071,17805,UTR897163846,processed,08-09-2026 08:00
set_Bnk9x2072,pay_Gz8x1072,141366,UTR694019365,processed,08-09-2026 10:00
set_Bnk9x2073,pay_Gz8x1073,134011,UTR266910922,processed,08-09-2026 12:00
set_Bnk9x2074,pay_Gz8x1074,43631,UTR392431670,processed,08-09-2026 14:00
set_Bnk9x2075,pay_Gz8x1075,130747,UTR402533494,processed,08-09-2026 16:00
set_Bnk9x2076,pay_Gz8x1076,113954,UTR749431082,processed,08-09-2026 18:00
set_Bnk9x2079,pay_Gz8x1079,23629,UTR326161867,processed,09-09-2026 00:00
set_Bnk9x2080,pay_Gz8x1080,112819,UTR870530217,processed,09-09-2026 02:00
set_Bnk9x2081,pay_Gz8x1081,73410,UTR468164906,processed,09-09-2026 04:00
set_Bnk9x2082,pay_Gz8x1082,124590,UTR318610946,processed,09-09-2026 06:00
set_Bnk9x2083,pay_Gz8x1083,56729,UTR838194420,processed,09-09-2026 08:00
set_Bnk9x2084,pay_Gz8x1084,73705,UTR781007818,processed,09-09-2026 10:00
set_Bnk9x2085,pay_Gz8x1085,34825,UTR383450553,processed,09-09-2026 12:00
set_Bnk9x2086,pay_Gz8x1086,13542,UTR642678844,processed,09-09-2026 14:00
set_Bnk9x2088,pay_Gz8x1088,132972,UTR624557080,processed,09-09-2026 18:00
set_Bnk9x2089,pay_Gz8x1089,24772,UTR369639388,processed,09-09-2026 20:00
set_Bnk9x2091,pay_Gz8x1091,126227,UTR154544899,processed,10-09-2026 00:00
set_Bnk9x2092,pay_Gz8x1092,134331,UTR199104722,processed,10-09-2026 02:00
set_Bnk9x2093,pay_Gz8x1093,85710,UTR781057736,processed,10-09-2026 04:00
set_Bnk9x2094,pay_Gz8x1094,25367,UTR554811020,processed,10-09-2026 06:00
set_Bnk9x2095,pay_Gz8x1095,22599,UTR990505735,processed,10-09-2026 08:00
set_Bnk9x2096,pay_Gz8x1096,138473,UTR397083132,processed,10-09-2026 10:00
set_Bnk9x2097,pay_Gz8x1097,24323,UTR147337803,processed,10-09-2026 12:00
set_Bnk9x2098,pay_Gz8x1098,57327,UTR103807155,processed,10-09-2026 14:00
set_Bnk9x2099,pay_Gz8x1099,27159,UTR458153605,processed,10-09-2026 16:00
set_Bnk9x2100,pay_Gz8x1100,40450,UTR927982963,processed,10-09-2026 18:00
