record_id,timestamp,source_system,transaction_id,amount,currency,status,account_id,fee_charged
REC-026,2026-09-04T15:34:00Z,LEDGER,tx_gwy_44993,255.36,EUR,POSTED,acc_usr_7065,0
REC-027,2026-09-05T07:41:00Z,GATEWAY,tx_gwy_31417,876.31,GBP,SUCCESS,acc_usr_3803,26.29
REC-028,2026-09-05T07:41:05Z,BANK,tx_bnk_70589,876.31,GBP,SETTLED,acc_usr_3803,24.54
REC-029,2026-09-05T07:41:00Z,LEDGER,tx_gwy_31417,876.31,GBP,POSTED,acc_usr_3803,0
REC-030,2026-09-04T17:30:00Z,GATEWAY,tx_gwy_14207,278.71,USD,SUCCESS,acc_usr_6313,8.36
REC-031,2026-09-04T17:30:01Z,BANK,tx_bnk_51347,278.71,USD,SETTLED,acc_usr_6313,7.8
REC-032,2026-09-04T17:30:00Z,LEDGER,tx_gwy_14207,278.71,USD,POSTED,acc_usr_6313,0
REC-033,2026-09-04T17:13:00Z,GATEWAY,tx_gwy_61856,788.25,USD,SUCCESS,acc_usr_6155,23.65
REC-034,2026-09-04T17:13:03Z,BANK,tx_bnk_94259,788.25,USD,SETTLED,acc_usr_6155,22.07
REC-035,2026-09-04T17:13:00Z,LEDGER,tx_gwy_61856,788.25,USD,POSTED,acc_usr_6155,0
REC-036,2026-09-04T14:46:00Z,GATEWAY,tx_gwy_44438,675.83,GBP,SUCCESS,acc_usr_5040,20.27
REC-037,2026-09-04T14:46:05Z,BANK,tx_bnk_86622,675.83,GBP,SETTLED,acc_usr_5040,18.92
REC-038,2026-09-04T14:46:00Z,LEDGER,tx_gwy_44438,675.83,GBP,POSTED,acc_usr_5040,0
REC-039,2026-09-04T23:38:00Z,GATEWAY,tx_gwy_28131,1196.8,USD,SUCCESS,acc_usr_6930,35.9
REC-040,2026-09-04T23:38:01Z,BANK,tx_bnk_76784,1196.8,USD,SETTLED,acc_usr_6930,33.51
REC-041,2026-09-04T23:38:00Z,LEDGER,tx_gwy_28131,1196.8,USD,POSTED,acc_usr_6930,0
REC-042,2026-09-04T13:45:00Z,GATEWAY,tx_gwy_99192,196.18,GBP,SUCCESS,acc_usr_3504,5.89
REC-043,2026-09-04T13:45:04Z,BANK,tx_bnk_65333,196.18,GBP,SETTLED,acc_usr_3504,5.49
REC-044,2026-09-04T13:45:00Z,LEDGER,tx_gwy_99192,196.18,GBP,POSTED,acc_usr_3504,0
REC-045,2026-09-04T23:02:00Z,GATEWAY,tx_gwy_82512,305.44,GBP,SUCCESS,acc_usr_8668,9.16
REC-046,2026-09-04T23:02:01Z,BANK,tx_bnk_11504,305.44,GBP,SETTLED,acc_usr_8668,8.55
REC-047,2026-09-04T23:02:00Z,LEDGER,tx_gwy_82512,305.44,GBP,POSTED,acc_usr_8668,0
REC-048,2026-09-05T09:17:00Z,GATEWAY,tx_gwy_54587,923.48,EUR,SUCCESS,acc_usr_9797,27.7
REC-049,2026-09-05T09:17:02Z,BANK,tx_bnk_24621,923.48,EUR,SETTLED,acc_usr_9797,25.86
REC-050,2026-09-05T09:17:00Z,LEDGER,tx_gwy_54587,923.48,EUR,POSTED,acc_usr_9797,0
REC-051,2026-09-05T01:30:00Z,GATEWAY,tx_gwy_44522,1051.64,GBP,FAILED,acc_usr_1053,0
REC-052,2026-09-05T01:30:00Z,LEDGER,tx_gwy_44522,1051.64,GBP,DECLINED,acc_usr_1053,0
REC-053,2026-09-05T03:20:00Z,GATEWAY,tx_gwy_93748,361.64,GBP,SUCCESS,acc_usr_2743,10.85
REC-054,2026-09-05T03:20:02Z,BANK,tx_bnk_76540,361.64,GBP,SETTLED,acc_usr_2743,10.13
REC-055,2026-09-05T03:20:00Z,LEDGER,tx_gwy_93748,361.64,GBP,POSTED,acc_usr_2743,0
REC-056,2026-09-04T22:46:00Z,GATEWAY,tx_gwy_79514,1144.43,GBP,SUCCESS,acc_usr_3646,34.33
REC-057,2026-09-04T22:46:04Z,BANK,tx_bnk_10074,1144.43,GBP,SETTLED,acc_usr_3646,32.04
REC-058,2026-09-04T22:46:00Z,LEDGER,tx_gwy_79514,1144.43,GBP,POSTED,acc_usr_3646,0
REC-059,2026-09-04T10:40:00Z,GATEWAY,tx_gwy_50306,1055.07,EUR,SUCCESS,acc_usr_2832,31.65
REC-060,2026-09-04T10:40:05Z,BANK,tx_bnk_41385,1055.07,EUR,SETTLED,acc_usr_2832,29.54
REC-061,2026-09-04T10:40:00Z,LEDGER,tx_gwy_50306,1055.07,EUR,POSTED,acc_usr_2832,0
REC-062,2026-09-04T12:42:00Z,GATEWAY,tx_gwy_19071,585.76,GBP,FAILED,acc_usr_2403,0
REC-063,2026-09-04T12:42:00Z,LEDGER,tx_gwy_19071,585.76,GBP,DECLINED,acc_usr_2403,0
REC-064,2026-09-04T14:23:00Z,GATEWAY,tx_gwy_79163,202.33,GBP,SUCCESS,acc_usr_8787,6.07
REC-065,2026-09-04T14:23:02Z,BANK,tx_bnk_89507,202.33,GBP,SETTLED,acc_usr_8787,5.67
REC-066,2026-09-04T14:23:00Z,LEDGER,tx_gwy_79163,202.33,GBP,POSTED,acc_usr_8787,0
REC-067,2026-09-05T04:25:00Z,GATEWAY,tx_gwy_98039,377.5,GBP,SUCCESS,acc_usr_4295,11.32
REC-068,2026-09-05T04:25:05Z,BANK,tx_bnk_95180,377.5,GBP,SETTLED,acc_usr_4295,10.57
REC-069,2026-09-05T04:25:00Z,LEDGER,tx_gwy_98039,377.5,GBP,POSTED,acc_usr_4295,0
REC-070,2026-09-05T01:25:00Z,GATEWAY,tx_gwy_54313,273.51,USD,SUCCESS,acc_usr_2982,8.21
REC-071,2026-09-05T01:25:02Z,BANK,tx_bnk_12757,273.51,USD,SETTLED,acc_usr_2982,7.66
REC-072,2026-09-05T01:25:00Z,LEDGER,tx_gwy_54313,273.51,USD,POSTED,acc_usr_2982,0
REC-073,2026-09-05T06:06:00Z,GATEWAY,tx_gwy_92719,89.84,USD,SUCCESS,acc_usr_4608,2.7
REC-074,2026-09-05T06:06:01Z,BANK,tx_bnk_17716,89.84,USD,SETTLED,acc_usr_4608,2.52
REC-075,2026-09-05T06:06:00Z,LEDGER,tx_gwy_92719,89.84,USD,POSTED,acc_usr_4608,0
REC-076,2026-09-04T21:17:00Z,GATEWAY,tx_gwy_97684,289.42,GBP,SUCCESS,acc_usr_2160,8.68
REC-077,2026-09-04T21:17:02Z,BANK,tx_bnk_73624,289.42,GBP,SETTLED,acc_usr_2160,8.1
REC-078,2026-09-04T21:17:00Z,LEDGER,tx_gwy_97684,289.42,GBP,POSTED,acc_usr_2160,0
REC-079,2026-09-05T05:30:00Z,GATEWAY,tx_gwy_63354,942.62,USD,SUCCESS,acc_usr_8744,28.28
REC-080,2026-09-05T05:30:04Z,BANK,tx_bnk_34957,942.62,USD,SETTLED,acc_usr_8744,26.39
REC-081,2026-09-05T05:30:00Z,LEDGER,tx_gwy_63354,942.62,USD,POSTED,acc_usr_8744,0
REC-082,2026-09-04T22:06:00Z,GATEWAY,tx_gwy_17100,563.09,EUR,SUCCESS,acc_usr_7939,16.89
REC-083,2026-09-04T22:06:01Z,BANK,tx_bnk_98259,563.09,EUR,SETTLED,acc_usr_7939,15.77
REC-084,2026-09-04T22:06:00Z,LEDGER,tx_gwy_17100,563.09,EUR,POSTED,acc_usr_7939,0
REC-085,2026-09-04T12:05:00Z,GATEWAY,tx_gwy_24322,410.47,GBP,SUCCESS,acc_usr_7596,12.31
REC-086,2026-09-04T12:05:05Z,BANK,tx_bnk_42591,410.47,GBP,SETTLED,acc_usr_7596,11.49
REC-087,2026-09-04T12:05:00Z,LEDGER,tx_gwy_24322,410.47,GBP,POSTED,acc_usr_7596,0
REC-088,2026-09-05T01:19:00Z,GATEWAY,tx_gwy_70637,224.27,EUR,SUCCESS,acc_usr_3296,6.73
REC-089,2026-09-05T01:19:00Z,LEDGER,tx_gwy_70637,224.27,EUR,POSTED,acc_usr_3296,0
REC-090,2026-09-04T12:35:00Z,GATEWAY,tx_gwy_95477,122,GBP,FAILED,acc_usr_8260,0
REC-091,2026-09-04T12:35:00Z,LEDGER,tx_gwy_95477,122,GBP,DECLINED,acc_usr_8260,0
REC-092,2026-09-04T13:12:00Z,GATEWAY,tx_gwy_73092,490.66,USD,SUCCESS,acc_usr_4872,14.72
REC-093,2026-09-04T13:12:00Z,LEDGER,tx_gwy_73092,490.66,USD,POSTED,acc_usr_4872,0
REC-094,2026-09-04T12:01:00Z,GATEWAY,tx_gwy_61173,7.58,EUR,SUCCESS,acc_usr_3697,0.23
REC-095,2026-09-04T12:01:00Z,BANK,tx_bnk_44760,-2.42,EUR,SETTLED,acc_usr_3697,0.21
REC-096,2026-09-04T12:01:00Z,LEDGER,tx_gwy_61173,7.58,EUR,POSTED,acc_usr_3697,0
REC-097,2026-09-05T01:32:00Z,GATEWAY,tx_gwy_82845,837.43,EUR,FAILED,acc_usr_5673,0
REC-098,2026-09-05T01:32:00Z,LEDGER,tx_gwy_82845,837.43,EUR,DECLINED,acc_usr_5673,0
REC-099,2026-09-04T15:18:00Z,GATEWAY,tx_gwy_17665,265.15,EUR,FAILED,acc_usr_4111,0
REC-100,2026-09-04T15:18:00Z,LEDGER,tx_gwy_17665,265.15,EUR,DECLINED,acc_usr_4111,0
REC-101,2026-09-04T12:05:00Z,GATEWAY,tx_gwy_72493,64.92,USD,SUCCESS,acc_usr_6138,1.95
REC-102,2026-09-04T12:05:00Z,BANK,tx_bnk_75909,54.92,USD,SETTLED,acc_usr_6138,1.82
REC-103,2026-09-04T12:05:00Z,LEDGER,tx_gwy_72493,64.92,USD,POSTED,acc_usr_6138,0
REC-104,2026-09-05T04:08:00Z,GATEWAY,tx_gwy_20500,1153.13,USD,SUCCESS,acc_usr_3579,34.59
REC-105,2026-09-05T04:08:01Z,BANK,tx_bnk_34356,1153.13,USD,SETTLED,acc_usr_3579,32.29
REC-106,2026-09-05T04:08:00Z,LEDGER,tx_gwy_20500,1153.13,USD,POSTED,acc_usr_3579,0
REC-107,2026-09-05T09:03:00Z,GATEWAY,tx_gwy_84668,148.26,EUR,SUCCESS,acc_usr_4853,4.45
REC-108,2026-09-05T09:03:01Z,BANK,tx_bnk_42271,148.26,EUR,SETTLED,acc_usr_4853,4.15
REC-109,2026-09-05T09:03:00Z,LEDGER,tx_gwy_84668,148.26,EUR,POSTED,acc_usr_4853,0
REC-110,2026-09-05T07:09:00Z,GATEWAY,tx_gwy_84085,790.56,EUR,SUCCESS,acc_usr_2343,23.72
REC-111,2026-09-05T07:09:03Z,BANK,tx_bnk_78522,790.56,EUR,SETTLED,acc_usr_2343,22.14
REC-112,2026-09-05T07:09:00Z,LEDGER,tx_gwy_84085,790.56,EUR,POSTED,acc_usr_2343,0
REC-113,2026-09-04T16:59:00Z,GATEWAY,tx_gwy_27154,322.41,USD,SUCCESS,acc_usr_6147,9.67
REC-114,2026-09-04T16:59:04Z,BANK,tx_bnk_98039,322.41,USD,SETTLED,acc_usr_6147,9.03
REC-115,2026-09-04T16:59:00Z,LEDGER,tx_gwy_27154,322.41,USD,POSTED,acc_usr_6147,0
REC-116,2026-09-04T20:48:00Z,GATEWAY,tx_gwy_83792,552.65,USD,SUCCESS,acc_usr_2188,16.58
REC-117,2026-09-04T20:48:02Z,BANK,tx_bnk_23104,552.65,USD,SETTLED,acc_usr_2188,15.47
REC-118,2026-09-04T20:48:00Z,LEDGER,tx_gwy_83792,552.65,USD,POSTED,acc_usr_2188,0
REC-119,2026-09-05T03:17:00Z,GATEWAY,tx_gwy_19016,1120.24,USD,SUCCESS,acc_usr_5345,33.61
REC-120,2026-09-05T03:17:02Z,BANK,tx_bnk_42018,1120.24,USD,SETTLED,acc_usr_5345,31.37
REC-121,2026-09-05T03:17:00Z,LEDGER,tx_gwy_19016,1120.24,USD,POSTED,acc_usr_5345,0
REC-122,2026-09-05T00:58:00Z,GATEWAY,tx_gwy_95717,366.51,GBP,SUCCESS,acc_usr_9900,11
REC-123,2026-09-05T00:58:05Z,BANK,tx_bnk_79329,366.51,GBP,SETTLED,acc_usr_9900,10.26
REC-124,2026-09-05T00:58:00Z,LEDGER,tx_gwy_95717,366.51,GBP,POSTED,acc_usr_9900,0
REC-125,2026-09-04T20:14:00Z,GATEWAY,tx_gwy_24029,321.04,USD,SUCCESS,acc_usr_2697,9.63
REC-126,2026-09-04T20:14:03Z,BANK,tx_bnk_82512,321.04,USD,SETTLED,acc_usr_2697,8.99
REC-127,2026-09-04T20:14:00Z,LEDGER,tx_gwy_24029,321.04,USD,POSTED,acc_usr_2697,0
REC-128,2026-09-05T06:39:00Z,GATEWAY,tx_gwy_93130,414.74,GBP,SUCCESS,acc_usr_4450,12.44
REC-129,2026-09-05T06:39:03Z,BANK,tx_bnk_44600,414.74,GBP,SETTLED,acc_usr_4450,11.61
REC-130,2026-09-05T06:39:00Z,LEDGER,tx_gwy_93130,414.74,GBP,POSTED,acc_usr_4450,0
REC-131,2026-09-04T11:45:00Z,GATEWAY,tx_gwy_46265,511.17,GBP,SUCCESS,acc_usr_2512,15.34
REC-132,2026-09-04T11:45:02Z,BANK,tx_bnk_15778,511.17,GBP,SETTLED,acc_usr_2512,14.31
REC-133,2026-09-04T11:45:00Z,LEDGER,tx_gwy_46265,511.17,GBP,POSTED,acc_usr_2512,0
REC-134,2026-09-05T07:45:00Z,GATEWAY,tx_gwy_82309,890.77,USD,SUCCESS,acc_usr_5291,26.72
REC-135,2026-09-05T07:45:01Z,BANK,tx_bnk_66057,890.77,USD,SETTLED,acc_usr_5291,24.94
REC-136,2026-09-05T07:45:00Z,LEDGER,tx_gwy_82309,890.77,USD,POSTED,acc_usr_5291,0
REC-137,2026-09-04T12:35:00Z,GATEWAY,tx_gwy_58393,48.05,GBP,SUCCESS,acc_usr_3442,1.44
REC-138,2026-09-04T12:35:04Z,BANK,tx_bnk_86350,48.05,GBP,SETTLED,acc_usr_3442,1.35
REC-139,2026-09-04T12:35:00Z,LEDGER,tx_gwy_58393,48.05,GBP,POSTED,acc_usr_3442,0
REC-140,2026-09-04T14:22:00Z,GATEWAY,tx_gwy_15229,440.76,EUR,SUCCESS,acc_usr_1685,13.22
REC-141,2026-09-04T14:22:02Z,BANK,tx_bnk_56898,440.76,EUR,SETTLED,acc_usr_1685,12.34
REC-142,2026-09-04T14:22:00Z,LEDGER,tx_gwy_15229,440.76,EUR,POSTED,acc_usr_1685,0
REC-143,2026-09-05T08:46:00Z,GATEWAY,tx_gwy_63264,937.24,EUR,FAILED,acc_usr_2684,0
REC-144,2026-09-05T08:46:00Z,LEDGER,tx_gwy_63264,937.24,EUR,DECLINED,acc_usr_2684,0
REC-145,2026-09-04T18:05:00Z,GATEWAY,tx_gwy_13248,1058.29,USD,FAILED,acc_usr_3662,0
REC-146,2026-09-04T18:05:00Z,LEDGER,tx_gwy_13248,1058.29,USD,DECLINED,acc_usr_3662,0
REC-147,2026-09-04T21:21:00Z,GATEWAY,tx_gwy_42527,1037.56,GBP,SUCCESS,acc_usr_7745,31.13
REC-148,2026-09-04T21:21:01Z,BANK,tx_bnk_44970,1037.56,GBP,SETTLED,acc_usr_7745,29.05
REC-149,2026-09-04T21:21:00Z,LEDGER,tx_gwy_42527,1037.56,GBP,POSTED,acc_usr_7745,0
REC-150,2026-09-04T23:04:00Z,GATEWAY,tx_gwy_70332,270.81,EUR,SUCCESS,acc_usr_1634,8.12
REC-151,2026-09-04T23:04:02Z,BANK,tx_bnk_55830,270.81,EUR,SETTLED,acc_usr_1634,7.58
REC-152,2026-09-04T23:04:00Z,LEDGER,tx_gwy_70332,270.81,EUR,POSTED,acc_usr_1634,0
REC-153,2026-09-04T17:37:00Z,GATEWAY,tx_gwy_53025,235.79,GBP,SUCCESS,acc_usr_1387,7.07
REC-154,2026-09-04T17:37:00Z,LEDGER,tx_gwy_53025,235.79,GBP,POSTED,acc_usr_1387,0
REC-155,2026-09-04T19:32:00Z,GATEWAY,tx_gwy_99065,613.74,GBP,SUCCESS,acc_usr_6753,18.41
REC-156,2026-09-04T19:32:01Z,BANK,tx_bnk_80282,613.74,GBP,SETTLED,acc_usr_6753,17.18
REC-157,2026-09-04T19:32:00Z,LEDGER,tx_gwy_99065,613.74,GBP,POSTED,acc_usr_6753,0
REC-158,2026-09-04T13:57:00Z,GATEWAY,tx_gwy_44795,698.8,USD,SUCCESS,acc_usr_5279,20.96
REC-159,2026-09-04T13:57:04Z,BANK,tx_bnk_15014,698.8,USD,SETTLED,acc_usr_5279,19.57
REC-160,2026-09-04T13:57:00Z,LEDGER,tx_gwy_44795,698.8,USD,POSTED,acc_usr_5279,0
REC-161,2026-09-04T21:48:00Z,GATEWAY,tx_gwy_77033,729.42,EUR,SUCCESS,acc_usr_6139,21.88
REC-162,2026-09-04T21:48:05Z,BANK,tx_bnk_25157,729.42,EUR,SETTLED,acc_usr_6139,20.42
REC-163,2026-09-04T21:48:00Z,LEDGER,tx_gwy_77033,729.42,EUR,POSTED,acc_usr_6139,0
REC-164,2026-09-04T16:30:00Z,GATEWAY,tx_gwy_10221,852,USD,SUCCESS,acc_usr_5173,25.56
REC-165,2026-09-04T16:30:00Z,BANK,tx_bnk_78146,842,USD,SETTLED,acc_usr_5173,23.86
REC-166,2026-09-04T16:30:00Z,LEDGER,tx_gwy_10221,852,USD,POSTED,acc_usr_5173,0
REC-167,2026-09-05T04:23:00Z,GATEWAY,tx_gwy_97062,520.4,EUR,SUCCESS,acc_usr_4228,15.61
REC-168,2026-09-05T04:23:01Z,BANK,tx_bnk_53279,520.4,EUR,SETTLED,acc_usr_4228,14.57
REC-169,2026-09-05T04:23:00Z,LEDGER,tx_gwy_97062,520.4,EUR,POSTED,acc_usr_4228,0
REC-170,2026-09-04T20:16:00Z,GATEWAY,tx_gwy_52753,801.94,EUR,SUCCESS,acc_usr_9308,24.06
REC-171,2026-09-04T20:16:05Z,BANK,tx_bnk_62743,801.94,EUR,SETTLED,acc_usr_9308,22.45
REC-172,2026-09-04T20:16:00Z,LEDGER,tx_gwy_52753,801.94,EUR,POSTED,acc_usr_9308,0
REC-173,2026-09-04T14:21:00Z,GATEWAY,tx_gwy_59695,799.59,EUR,FAILED,acc_usr_4143,0
REC-174,2026-09-04T14:21:00Z,LEDGER,tx_gwy_59695,799.59,EUR,DECLINED,acc_usr_4143,0
REC-175,2026-09-04T15:57:00Z,GATEWAY,tx_gwy_10053,659.78,EUR,SUCCESS,acc_usr_5930,19.79
REC-176,2026-09-04T15:57:04Z,BANK,tx_bnk_49829,659.78,EUR,SETTLED,acc_usr_5930,18.47
REC-177,2026-09-04T15:57:00Z,LEDGER,tx_gwy_10053,659.78,EUR,POSTED,acc_usr_5930,0
REC-178,2026-09-05T05:48:00Z,GATEWAY,tx_gwy_98555,532.93,EUR,SUCCESS,acc_usr_6279,15.99
REC-179,2026-09-05T05:48:02Z,BANK,tx_bnk_38010,532.93,EUR,SETTLED,acc_usr_6279,14.92
REC-180,2026-09-05T05:48:00Z,LEDGER,tx_gwy_98555,532.93,EUR,POSTED,acc_usr_6279,0
REC-181,2026-09-05T08:30:00Z,GATEWAY,tx_gwy_92960,620.97,EUR,SUCCESS,acc_usr_2389,18.63
REC-182,2026-09-05T08:30:02Z,BANK,tx_bnk_91167,620.97,EUR,SETTLED,acc_usr_2389,17.39
REC-183,2026-09-05T08:30:00Z,LEDGER,tx_gwy_92960,620.97,EUR,POSTED,acc_usr_2389,0
REC-184,2026-09-05T08:58:00Z,GATEWAY,tx_gwy_29313,968.84,USD,SUCCESS,acc_usr_6085,29.07
REC-185,2026-09-05T08:58:04Z,BANK,tx_bnk_13201,968.84,USD,SETTLED,acc_usr_6085,27.13
REC-186,2026-09-05T08:58:00Z,LEDGER,tx_gwy_29313,968.84,USD,POSTED,acc_usr_6085,0
REC-187,2026-09-05T06:52:00Z,GATEWAY,tx_gwy_92544,500.26,EUR,SUCCESS,acc_usr_2193,15.01
REC-188,2026-09-05T06:52:04Z,BANK,tx_bnk_85454,500.26,EUR,SETTLED,acc_usr_2193,14.01
REC-189,2026-09-05T06:52:00Z,LEDGER,tx_gwy_92544,500.26,EUR,POSTED,acc_usr_2193,0
REC-190,2026-09-05T02:53:00Z,GATEWAY,tx_gwy_10726,181.35,USD,FAILED,acc_usr_7547,0
REC-191,2026-09-05T02:53:00Z,LEDGER,tx_gwy_10726,181.35,USD,DECLINED,acc_usr_7547,0
REC-192,2026-09-04T17:29:00Z,GATEWAY,tx_gwy_16582,623.96,GBP,SUCCESS,acc_usr_3881,18.72
REC-193,2026-09-04T17:29:01Z,BANK,tx_bnk_83060,623.96,GBP,SETTLED,acc_usr_3881,17.47
REC-194,2026-09-04T17:29:00Z,LEDGER,tx_gwy_16582,623.96,GBP,POSTED,acc_usr_3881,0
REC-195,2026-09-05T01:35:00Z,GATEWAY,tx_gwy_83259,802.76,EUR,SUCCESS,acc_usr_3184,24.08
REC-196,2026-09-05T01:35:04Z,BANK,tx_bnk_88047,802.76,EUR,SETTLED,acc_usr_3184,22.48
REC-197,2026-09-05T01:35:00Z,LEDGER,tx_gwy_83259,802.76,EUR,POSTED,acc_usr_3184,0
REC-198,2026-09-05T06:55:00Z,GATEWAY,tx_gwy_81810,997.53,EUR,SUCCESS,acc_usr_9270,29.93
REC-199,2026-09-05T06:55:00Z,LEDGER,tx_gwy_81810,997.53,EUR,POSTED,acc_usr_9270,0
REC-200,2026-09-05T02:13:00Z,GATEWAY,tx_gwy_93579,903.37,EUR,FAILED,acc_usr_8373,0
REC-201,2026-09-05T02:13:00Z,LEDGER,tx_gwy_93579,903.37,EUR,DECLINED,acc_usr_8373,0
REC-202,2026-09-05T03:48:00Z,GATEWAY,tx_gwy_67654,290.9,GBP,FAILED,acc_usr_8939,0
REC-203,2026-09-05T03:48:00Z,LEDGER,tx_gwy_67654,290.9,GBP,DECLINED,acc_usr_8939,0
REC-204,2026-09-04T18:01:00Z,GATEWAY,tx_gwy_80798,387.05,EUR,SUCCESS,acc_usr_5451,11.61
REC-205,2026-09-04T18:01:02Z,BANK,tx_bnk_20561,387.05,EUR,SETTLED,acc_usr_5451,10.84
REC-206,2026-09-04T18:01:00Z,LEDGER,tx_gwy_80798,387.05,EUR,POSTED,acc_usr_5451,0
REC-207,2026-09-04T23:05:00Z,GATEWAY,tx_gwy_64377,260.67,GBP,SUCCESS,acc_usr_3503,7.82
REC-208,2026-09-04T23:05:04Z,BANK,tx_bnk_63424,260.67,GBP,SETTLED,acc_usr_3503,7.3
REC-209,2026-09-04T23:05:00Z,LEDGER,tx_gwy_64377,260.67,GBP,POSTED,acc_usr_3503,0
REC-210,2026-09-05T00:12:00Z,GATEWAY,tx_gwy_61049,1000.3,USD,SUCCESS,acc_usr_2020,30.01
REC-211,2026-09-05T00:12:00Z,BANK,tx_bnk_86556,990.3,USD,SETTLED,acc_usr_2020,28.01
REC-212,2026-09-05T00:12:00Z,LEDGER,tx_gwy_61049,1000.3,USD,POSTED,acc_usr_2020,0
REC-213,2026-09-04T10:41:00Z,GATEWAY,tx_gwy_56105,12.05,EUR,FAILED,acc_usr_7232,0
REC-214,2026-09-04T10:41:00Z,LEDGER,tx_gwy_56105,12.05,EUR,DECLINED,acc_usr_7232,0
REC-215,2026-09-05T00:19:00Z,GATEWAY,tx_gwy_89069,882.89,GBP,SUCCESS,acc_usr_9818,26.49
REC-216,2026-09-05T00:19:03Z,BANK,tx_bnk_38906,882.89,GBP,SETTLED,acc_usr_9818,24.72
REC-217,2026-09-05T00:19:00Z,LEDGER,tx_gwy_89069,882.89,GBP,POSTED,acc_usr_9818,0
REC-218,2026-09-05T00:53:00Z,GATEWAY,tx_gwy_97670,469.68,USD,FAILED,acc_usr_8956,0
REC-219,2026-09-05T00:53:00Z,LEDGER,tx_gwy_97670,469.68,USD,DECLINED,acc_usr_8956,0
REC-220,2026-09-04T15:39:00Z,GATEWAY,tx_gwy_80008,1176.96,USD,SUCCESS,acc_usr_8657,35.31
REC-221,2026-09-04T15:39:00Z,BANK,tx_bnk_13534,1166.96,USD,SETTLED,acc_usr_8657,32.95
REC-222,2026-09-04T15:39:00Z,LEDGER,tx_gwy_80008,1176.96,USD,POSTED,acc_usr_8657,0
REC-223,2026-09-05T06:13:00Z,GATEWAY,tx_gwy_27786,773.09,USD,SUCCESS,acc_usr_1444,23.19
REC-224,2026-09-05T06:13:03Z,BANK,tx_bnk_70515,773.09,USD,SETTLED,acc_usr_1444,21.65
REC-225,2026-09-05T06:13:00Z,LEDGER,tx_gwy_27786,773.09,USD,POSTED,acc_usr_1444,0
REC-226,2026-09-04T22:57:00Z,GATEWAY,tx_gwy_54236,548.37,USD,SUCCESS,acc_usr_6363,16.45
